t,x,y,z
0.53,3.1325,-1.10749e-13,7.22865
0.531,3.13275,-0.309017,7.2364
0.532,3.133,-0.587785,7.24416
0.533,3.13325,-0.809017,7.25193
0.534,3.1335,-0.951057,7.2597
0.535,3.13375,-1,7.26749
0.536,3.134,-0.951057,7.27528
0.537,3.13425,-0.809017,7.28308
0.538,3.1345,-0.587785,7.29089
0.539,3.13475,-0.309017,7.2987
0.54,3.135,1.2839e-13,7.30653
0.541,3.13525,0.309017,7.31436
0.542,3.1355,0.587785,7.3222
0.543,3.13575,0.809017,7.33006
0.544,3.136,0.951057,7.33791
0.545,3.13625,1,7.34578
0.546,3.1365,0.951057,7.35366
0.547,3.13675,0.809017,7.36154
0.548,3.137,0.587785,7.36944
0.549,3.13725,0.309017,7.37734
0.55,3.1375,-1.17609e-13,7.38525
0.551,3.13775,-0.309017,7.39317
0.552,3.138,-0.587785,7.4011
0.553,3.13825,-0.809017,7.40903
0.554,3.1385,-0.951057,7.41698
0.555,3.13875,-1,7.42493
0.556,3.139,-0.951057,7.4329
0.557,3.13925,-0.809017,7.44087
0.558,3.1395,-0.587785,7.44885
0.559,3.13975,-0.309017,7.45683
0.56,3.14,1.35251e-13,7.46483
0.561,3.14025,0.309017,7.47284
0.562,3.1405,0.587785,7.48085
0.563,3.14075,0.809017,7.48888
0.564,3.141,0.951057,7.49691
0.565,3.14125,1,7.50495
0.566,3.1415,0.951057,7.513
0.567,3.14175,0.809017,7.52106
0.568,3.142,0.587785,7.52912
0.569,3.14225,0.309017,7.5372
0.57,3.1425,-1.2447e-13,7.54529
0.571,3.14275,-0.309017,7.55338
0.572,3.143,-0.587785,7.56148
0.573,3.14325,-0.809017,7.56959
0.574,3.1435,-0.951057,7.57771
0.575,3.14375,-1,7.58584
0.576,3.144,-0.951057,7.59398
0.577,3.14425,-0.809017,7.60213
0.578,3.1445,-0.587785,7.61029
0.579,3.14475,-0.309017,7.61845
0.58,3.145,1.42111e-13,7.62662
0.581,3.14525,0.309017,7.63481
0.582,3.1455,0.587785,7.643
0.583,3.14575,0.809017,7.6512
0.584,3.146,0.951057,7.65941
0.585,3.14625,1,7.66763
0.586,3.1465,0.951057,7.67586
0.587,3.14675,0.809017,7.68409
0.588,3.147,0.587785,7.69234
0.589,3.14725,0.309017,7.70059
0.59,3.1475,-1.3133e-13,7.70886
0.591,3.14775,-0.309017,7.71713
0.592,3.148,-0.587785,7.72541
